"RespondentID","PM1_1","PM1_2","PM1_3","PM1_4","PM1_5","PM5_4","PM5_5"
118620436275,2,1,2,2,1,2,4
118620436300,1,1,1,1,1,2,3
118620441723,2,3,1,2,2,2,5
118620451562,2,1,1,2,2,2,3
118620477685,1,4,2,2,3,2,2
118620515915,2,3,3,2,2,2,2
118622204507,2,3,3,3,3,1,4
118622253656,4,2,4,4,4,1,5
118622369337,2,2,2,2,2,2,4
