"","RespondentID","PM1_1","PM1_2","PM1_3","PM1_4","PM1_5","PM5_4","PM5_5"
"1",118545668169,3,2,4,4,2,2,4
"2",118556891645,1,4,4,2,6,2,5
"3",118559687064,3,4,2,2,4,2,3
"4",118562363573,1,2,1,1,6,2,4
"5",118562368417,2,2,4,4,2,2,4
"6",118562373328,NA,NA,NA,NA,NA,3,NA
